label,hash,unlimited_approval,large_transfer,unknown_contract,token_transfer,approval_amount,value_eth,method,to
USDT,0xf3c07a8078a3cac81e08135062eb51b97569236ec187493beb1586d80754971a,0,0,0,1,0.0,0.0,0xa9059cbb,0xdac17f958d2ee523a2206206994597c13d831ec7
USDT,0x47a0bc40dfc6f47fcecbbd68bc301a762748f7714f2afdd1f8107b4753f3a1cc,0,0,0,1,0.0,0.0,0xa9059cbb,0xdac17f958d2ee523a2206206994597c13d831ec7
USDT,0x2d6e50f88ef06431c5c2de62ff40f59e72e6a6b0d19f3ef655ee548be22ad465,0,0,0,1,0.0,0.0,0xa9059cbb,0xdac17f958d2ee523a2206206994597c13d831ec7
USDT,0x6bece3ca9171229d1b630a59c23767fdbe25f1ab3b4f05a6fc14aed39778f706,0,0,0,1,0.0,0.0,0xa9059cbb,0xdac17f958d2ee523a2206206994597c13d831ec7
USDT,0x25ffdd18736242e0716ff116dbd9cd5ffe0c88d8cc859a80226fc1c864d237fb,0,0,0,1,0.0,0.0,0xa9059cbb,0xdac17f958d2ee523a2206206994597c13d831ec7
USDT,0x22e1c1ca6363d2056f6abbb0c9690343385ea7382b5014f9cd15e13dcb8941d5,0,0,0,1,0.0,0.0,0xa9059cbb,0xdac17f958d2ee523a2206206994597c13d831ec7
USDT,0xa76b90f3ac816f484dfb16fbb22952de8a7737a70226f5272509b077c71c09ab,0,0,0,1,0.0,0.0,0xa9059cbb,0xdac17f958d2ee523a2206206994597c13d831ec7
USDT,0x02794985cd0cfac00ee39d333e487a30664a3464d708cdad9088f6a3f5b46c00,0,0,0,0,0.0,0.0,0x095ea7b3,0xdac17f958d2ee523a2206206994597c13d831ec7
USDT,0xdf238a847fb1640590f11f04cff3dd631c867cf29edc831b819d2da2b72caa71,0,0,0,1,0.0,0.0,0xa9059cbb,0xdac17f958d2ee523a2206206994597c13d831ec7
USDT,0x1e29be426425705eac965e42f4d613486a4df5645e562cb62a7d7433cba6f8fb,0,0,0,1,0.0,0.0,0xa9059cbb,0xdac17f958d2ee523a2206206994597c13d831ec7
USDT,0x7cc37830488212b874ebe4dde2ab6256eda1c98d1f2cee37ec7750a21d69c273,0,0,0,1,0.0,0.0,0xa9059cbb,0xdac17f958d2ee523a2206206994597c13d831ec7
USDT,0xa2ed190a3b43c98ac9c13c02b2dd7600788b510333b2a767b6a8db1dab6b4ff0,0,0,0,1,0.0,0.0,0xa9059cbb,0xdac17f958d2ee523a2206206994597c13d831ec7
USDT,0xe3487f561befdd0eb70ab0b77fce871700a6873616e2ed7249170abcbcf2cb7c,0,0,0,1,0.0,0.0,0xa9059cbb,0xdac17f958d2ee523a2206206994597c13d831ec7
USDT,0xad320c3c5019b34134626777dfd9a56024dd3017ded1a61fcb8aa1a070e7d52e,0,0,0,1,0.0,0.0,0xa9059cbb,0xdac17f958d2ee523a2206206994597c13d831ec7
USDT,0xe5d819efbd0509d573d19e0d30472eaa3d2a76f11ed658ac5a2f59a7b114d1c7,0,0,0,1,0.0,0.0,0xa9059cbb,0xdac17f958d2ee523a2206206994597c13d831ec7
USDT,0x7ff5bfe415233f1a681f0d1efd98739b5739848fc42c8aae18f694a33062b4b2,0,0,0,1,0.0,0.0,0xa9059cbb,0xdac17f958d2ee523a2206206994597c13d831ec7
USDT,0x55a27a76b5e339fce8cfc3ba0fb7d5af87b37fcfcbfce54acb18426a1f7cab54,0,0,0,1,0.0,0.0,0xa9059cbb,0xdac17f958d2ee523a2206206994597c13d831ec7
USDT,0x3bcdbb7050a31fc1e8e25bf34f11cba37df67852a77fb0cf22886880068ecc5b,0,0,0,0,0.0,0.0,0x23b872dd,0xdac17f958d2ee523a2206206994597c13d831ec7
USDT,0x40095f293539ca2474bde791dd80fa53345dadd71a3cfd48935f6e7d5d3552b8,0,0,0,1,0.0,0.0,0xa9059cbb,0xdac17f958d2ee523a2206206994597c13d831ec7
USDT,0xe3d2fe6f19f277d79e8959fbc08996f85a5ef58fc768d1dce5a96bc455cc0251,0,0,0,1,0.0,0.0,0xa9059cbb,0xdac17f958d2ee523a2206206994597c13d831ec7
USDT,0xed3f3d00ed1c61f5527500d291afe85b876fceccfa73935de5b9d437f60ab0da,0,0,0,1,0.0,0.0,0xa9059cbb,0xdac17f958d2ee523a2206206994597c13d831ec7
USDT,0x58a50729bd2170400543c5a87dfa2cd6244b194fd884f4c7c5c6c0dab0ae371c,0,0,0,1,0.0,0.0,0xa9059cbb,0xdac17f958d2ee523a2206206994597c13d831ec7
USDT,0x900bbacf8b4af5180e1288e1f83e8d56bfdfc4ed6286830d9ce8cccf10de42db,0,0,0,1,0.0,0.0,0xa9059cbb,0xdac17f958d2ee523a2206206994597c13d831ec7
USDT,0xfbd2b1d99b199551442825877af7de5aa1a4caac569c5b5d8389b79d7f284122,0,0,0,1,0.0,0.0,0xa9059cbb,0xdac17f958d2ee523a2206206994597c13d831ec7
USDT,0x53a8e91d8df3f99b05a8a376622411e5f9e3654f227edcd63d124e7bef02a3d2,0,0,0,1,0.0,0.0,0xa9059cbb,0xdac17f958d2ee523a2206206994597c13d831ec7
USDT,0xcc2b919672f71b2095b8e973ba35bb635c05a16d1e578b653f47a132e50ee014,0,0,0,1,0.0,0.0,0xa9059cbb,0xdac17f958d2ee523a2206206994597c13d831ec7
USDT,0x5f134b902b283a75fd5547312e4b5e64420ba4776e132970d14ff1360eddadb3,0,0,0,1,0.0,0.0,0xa9059cbb,0xdac17f958d2ee523a2206206994597c13d831ec7
USDT,0x51fccb65de40c6b8ecfffbb13a35c5677c71b2d1498ec2aa100832e5419f6860,0,0,0,1,0.0,0.0,0xa9059cbb,0xdac17f958d2ee523a2206206994597c13d831ec7
USDT,0x48a0fce6a267a4df24cf9a4a0b69244cff8c2da2c389d57fc2cb5e5970a93ef6,0,0,0,1,0.0,0.0,0xa9059cbb,0xdac17f958d2ee523a2206206994597c13d831ec7
USDT,0x11ed28545f7bcb7a3ba741a6e59fe40c1d3608b90c8aacb4ba40944ebf8bf50a,0,0,0,1,0.0,0.0,0xa9059cbb,0xdac17f958d2ee523a2206206994597c13d831ec7
USDT,0x2f316ad713225dc295fd636bf4bd7c65e4c875c8263e0e05e987434835fe42a1,0,0,0,1,0.0,0.0,0xa9059cbb,0xdac17f958d2ee523a2206206994597c13d831ec7
USDT,0xfaac1b4d79d69e7b16817ed067f64320209800800618902efef7ab5cb79f3a1e,0,0,0,1,0.0,0.0,0xa9059cbb,0xdac17f958d2ee523a2206206994597c13d831ec7
USDT,0x9ce160a396879792de78933c40c0ff4e1b372287538f719d48b7587025a0a24e,0,0,0,1,0.0,0.0,0xa9059cbb,0xdac17f958d2ee523a2206206994597c13d831ec7
USDT,0x0adca6a5150c0aed2bb4d109f9174f1c9205d556ffaac9f92257b0b1fa701c0c,0,0,0,1,0.0,0.0,0xa9059cbb,0xdac17f958d2ee523a2206206994597c13d831ec7
USDT,0xe9a7c53cee9ede6439a7017ad8619a3738c237f47b2d394f87d8d7b6af15143c,0,0,0,1,0.0,0.0,0xa9059cbb,0xdac17f958d2ee523a2206206994597c13d831ec7
USDT,0x7440d6ffb0b5245b33d585c223e4c2bc722493dd42d6b2c12b7b69192da62ec7,0,0,0,1,0.0,0.0,0xa9059cbb,0xdac17f958d2ee523a2206206994597c13d831ec7
USDT,0x9d7296058bac5bd75be64cfa4f98038218226ec42da6ec8d5fe2ad56753e4883,0,0,0,1,0.0,0.0,0xa9059cbb,0xdac17f958d2ee523a2206206994597c13d831ec7
USDT,0xddc0870f6c62acfd6866d4a5eb99160a4d9c060f721fb25ff59163e923d2b847,0,0,0,0,0.0,0.0,0x23b872dd,0xdac17f958d2ee523a2206206994597c13d831ec7
USDT,0xe76a50c085df2099c2e45b112ca7dfa94b57b5ed231989894f65b586469b4d13,0,0,0,0,0.0,0.0,0x23b872dd,0xdac17f958d2ee523a2206206994597c13d831ec7
USDT,0xf011f17e6ded4bcc554d6d34fecf13d263e61988cc55c32feeb3423b61f26b55,0,0,0,0,0.0,0.0,0x23b872dd,0xdac17f958d2ee523a2206206994597c13d831ec7
USDT,0xfa05c1ec65dcdb6f64575460bab8140efe87bb957860715d5209ac37b7abf043,0,0,0,1,0.0,0.0,0xa9059cbb,0xdac17f958d2ee523a2206206994597c13d831ec7
USDT,0x109f451780f6ef951879aee10eadbfe7578cc0761576424aa0add6cabb7fa22d,0,0,0,1,0.0,0.0,0xa9059cbb,0xdac17f958d2ee523a2206206994597c13d831ec7
USDT,0xa78cfc0144250c3601e8d5ce43c9a14fd24f09b7d3c02c576e17182aa60c6da5,0,0,0,1,0.0,0.0,0xa9059cbb,0xdac17f958d2ee523a2206206994597c13d831ec7
USDT,0xac63bd9f44a38d1cb3d5c83e777da024fed84ecea5c7a16524db907839e3e647,0,0,0,1,0.0,0.0,0xa9059cbb,0xdac17f958d2ee523a2206206994597c13d831ec7
USDT,0xfb613ef12a186226f7173bcd0616f40ef7c2599e9877f870679ee59625644f34,0,0,0,1,0.0,0.0,0xa9059cbb,0xdac17f958d2ee523a2206206994597c13d831ec7
USDT,0x6348fbac3419b278a9de240953df22377d3e20bdbe1586910f4a1b97275fb7ea,0,0,0,1,0.0,0.0,0xa9059cbb,0xdac17f958d2ee523a2206206994597c13d831ec7
USDT,0x6bcd96556028981a50f6d5e04d0dd80a7616b2160e2e7bfe52cdeee8de74b60a,0,0,0,1,0.0,0.0,0xa9059cbb,0xdac17f958d2ee523a2206206994597c13d831ec7
USDT,0x9ddb5d6622f3b82b742604fd08d860dcd1bb01b834591a62be0bf813b9715af7,0,0,0,1,0.0,0.0,0xa9059cbb,0xdac17f958d2ee523a2206206994597c13d831ec7
